trial,score,rsi_buy_min,rsi_buy_max,pullback_volume_min,require_pullback_macd_rising,trend_rsi_min,trend_rsi_max,trend_volume_min,breakout_lookback,ml_probability_min,stop_loss_pct,pullback_take_profit_pct,trend_trailing_stop_pct,cooldown_bars,minimum_hold_bars,max_hold_bars,pullback_rsi_sell,trend_macd_down_bars,require_positive_long_trend,block_high_volatility,atr_percentile_limit,fold_1_return,fold_2_return,fold_3_return,fold_4_return
10,-125.0,40.80001078622254,51.51103354375349,1.227348622546239,False,48.10566247042811,71.54961426250595,1.2089270433678725,12,0.5123998045386768,0.0051846675434740665,0.022837867599847708,0.0052496073317067505,8,2,21,78.58236127379135,4,False,True,0.8051142041529162,0.0,0.0,0.0,0.0
11,-125.0,39.32999119363896,60.25824570370091,0.9116942082901509,True,61.696849738876594,74.34121865469002,1.287930759610928,24,0.7432370445213436,0.01777079607714322,0.02369597566088221,0.009448309881891444,6,6,84,72.18282107589788,4,False,False,0.9790839075530791,0.0,0.0,0.0,0.0
12,-125.0,39.5149399013962,58.02822194847843,1.241362792317116,True,58.596546646868525,81.7479809826463,1.2001062624510122,12,0.7343902898415056,0.005871577989146538,0.02309180038832743,0.008916264502378656,7,2,70,58.33748918933422,4,False,False,0.969110687130218,0.0,0.0,0.0,0.0
13,-125.0,36.658389869594615,64.80228863813679,1.0612290390560712,True,58.34904033013857,74.49984977677063,1.3840452432104207,24,0.5447003080051488,0.015055036171621888,0.018608362187837357,0.008725055696443383,4,4,101,69.36010635343402,3,False,False,0.8206109701651686,0.0,0.0,0.0,0.0
14,-125.0,42.83471748795059,60.28611894138078,1.3301754261521521,False,53.890443397557085,79.06456428816858,1.1605354051424883,12,0.6412536990171016,0.008189636782489827,0.02856115202785051,0.011648222784330534,6,3,114,62.40205889478675,4,False,False,0.9283025042085489,0.0,0.0,0.0,0.0
15,-125.0,31.470640220956277,56.36286789940608,1.0495652190987106,True,50.902389634316634,74.38473499613502,0.8612829622787497,24,0.6967903278225036,0.012059463836273515,0.02718247589297458,0.006923602925043484,8,6,45,71.241371562151,3,False,False,0.8300973925823798,0.0,0.0,0.0,0.0
16,-125.0,36.93411893804751,61.349513198938766,0.8636742242786131,True,53.40713435161464,71.72999325437681,1.3431310269811454,12,0.5638045648334518,0.015503574457265211,0.01675085908272056,0.010934011620834034,4,4,81,75.40497252023243,5,False,False,0.9007900988061941,0.0,0.0,0.0,0.0
17,-125.0,25.25666428167361,48.492424915969835,0.9975920559041359,False,48.2938994334878,79.64862399461688,1.3884820387832792,6,0.5976712507561625,0.007234130318569976,0.008234453615265269,0.007286753174527874,12,3,139,62.50249185398601,4,False,False,0.9540648916221369,0.0,0.0,0.0,0.0
18,-125.0,43.31558111981938,56.17919176211217,1.1707571461225013,False,61.79290846598382,75.6759550623675,1.147120937126831,24,0.5095952350723798,0.017375857954433003,0.03539838928675701,0.0137136291304773,6,5,95,67.02693390095199,3,True,True,0.7537369727574357,0.0,0.0,0.0,0.0
19,-125.0,36.44811020481928,64.83491365343914,1.3177445134196952,True,58.19353571983714,72.75997928249028,1.2435677517484582,12,0.7113110869487939,0.00995840159831554,0.021144747447856178,0.018608408980871436,9,6,72,64.77562066844419,5,False,False,0.8421991212389015,0.0,0.0,0.0,0.0
20,-125.0,28.332436509342333,55.48385884208342,1.137181322085063,False,55.213654979603774,69.01246540423732,1.4993811665387513,12,0.6412473276493129,0.019723016640492738,0.026555577056173518,0.007325076414731952,3,2,40,58.05066976761736,4,False,False,0.7883879651714553,0.0,0.0,0.0,0.0
21,-125.0,29.57608413239195,53.19604526675149,1.3884213014720357,True,56.541298593943154,66.1688476847064,1.4341778973568662,6,0.6717589464509186,0.011431279578705546,0.014237100249553502,0.014082377057064563,2,7,53,75.63827843717092,3,False,False,0.9276529075068698,0.0,0.0,0.0,0.0
22,-125.0,33.20804796462983,48.92298824127525,1.5955272501029312,True,60.06128164565758,69.58430417467032,1.4221102382295472,6,0.6770018581145113,0.013776919733160137,0.009502174531632613,0.019993074061167855,5,7,33,73.4032861061694,3,False,False,0.9328771302027592,0.0,0.0,0.0,0.0
23,-125.0,28.772757423012347,61.61455531342824,1.549349186871177,True,57.195429437927224,68.09144883882423,1.3472464964541202,6,0.7201859898971885,0.011225448027180078,0.012186670503001009,0.024630053291042953,3,8,64,79.12986917403357,4,False,False,0.8995481129757907,0.0,0.0,0.0,0.0
24,-125.0,27.04387524839189,58.48539226589118,1.275469491616084,True,54.80537095353437,79.46596725717704,1.4555409210860084,6,0.691195429547009,0.008580221358708796,0.013763573369977281,0.016539893935267044,7,4,115,69.76293011481181,3,False,False,0.9485718168802425,0.0,0.0,0.0,0.0
25,-125.0,32.551314815349826,49.451309703965016,1.4229529111654833,True,59.88236414967146,78.13732449848376,1.27994455567497,6,0.656945627040533,0.012558138396425927,0.019804167632458937,0.010052491347285293,3,3,51,61.09369682854911,4,False,False,0.8911362022027389,0.0,0.0,0.0,0.0
26,-125.0,31.158924258227188,40.61947851334438,1.7412204852224804,True,52.72083335701238,73.35842479599366,1.385919903334511,24,0.7491204761298812,0.0067205235142839236,0.015546057756763789,0.013199337952409424,5,5,31,76.52438321858061,3,True,True,0.9159779592731883,0.0,0.0,0.0,0.0
27,-125.0,35.376223602304755,54.148214082316315,1.000235402890341,True,50.1845841808172,69.90953331054168,1.1182679171952852,18,0.7267879835654962,0.014410536122665678,0.010249100313825005,0.005102132877664629,7,6,76,69.8591486945054,5,False,False,0.8837545173348597,0.0,0.0,0.0,0.0
28,-125.0,38.89945531636601,62.746595215077036,1.1172997506501952,False,57.31882449451176,67.59922872699627,1.3496494733873565,6,0.6183704738470428,0.010873475792686334,0.030930037478973892,0.00803258282591777,2,7,93,68.26583246828724,4,False,False,0.9513031743269328,0.0,0.0,0.0,0.0
29,-125.0,44.28958221430733,59.429942206728896,0.9562356207561682,True,56.197062322013196,80.9844369328552,1.4977818089046058,24,0.5372907847261815,0.012603506919600875,0.012112541651240389,0.01049636502271226,2,8,128,64.48246368464508,3,True,False,0.8430471847186958,0.0,0.0,0.0,0.0
30,-125.0,47.901715646107185,62.30767665904356,1.360269609386499,True,59.224847261257736,75.5229377885999,1.2411170228333481,18,0.5529726969460045,0.008995383063643583,0.008047574189132689,0.019059511488150032,9,4,61,63.107173635755125,4,False,False,0.7825843843161863,0.0,0.0,0.0,0.0
31,-125.0,42.82674489470491,63.70842358866618,0.8572333757366785,True,57.17520267382348,80.7706647809794,1.0665718013334562,18,0.5711228016072672,0.017029181862658692,0.013575439359345175,0.015400158563871578,3,8,120,66.03505388845947,2,True,False,0.7511924627916233,0.0,0.0,0.0,0.0
32,-125.0,41.19402789743929,63.628246395068764,0.9251349843254325,True,54.76527184981182,77.94192139412091,0.8979547960605034,18,0.5250015076186161,0.013278072671590228,0.03487189966849881,0.01809984632279631,2,8,150,61.43752465180005,2,True,True,0.777417243929996,0.0,0.0,0.0,0.0
33,-123.76784040631341,46.19432353680904,61.090009146757396,1.2100865202944682,False,61.15056183573654,79.99364541432546,0.9532031302455861,18,0.5236017860795955,0.01641582931170958,0.01619567140545373,0.017217357889634622,4,7,110,60.05682267437423,2,True,False,0.8007322897619367,0.0824013070999996,0.0,0.0,0.0
34,-123.76784040631341,45.36317985291415,61.5882612481554,1.1910559230547297,False,60.88564003939967,78.59207068974412,1.0772536799503596,18,0.5206806764735173,0.016152650687169492,0.01564778712122097,0.017539357885629908,4,7,104,60.120330051927574,2,True,False,0.7965394499564709,0.0824013070999996,0.0,0.0,0.0
35,-123.76784040631341,44.86137390943428,60.90787939488922,1.1950061433179353,False,60.79369952561657,78.74058737217469,0.9591828421446699,18,0.520705011605781,0.016349673207078357,0.01587809554743073,0.01746772666846934,5,7,107,59.628444807488286,2,True,False,0.7966462930856076,0.0824013070999996,0.0,0.0,0.0
36,-123.76784040631341,44.87859304136349,60.52249415111074,1.1987251602133748,False,60.98271537586596,78.95105288352835,0.9447889236481019,18,0.501981440523971,0.01656315903646352,0.01839726515596528,0.017626058354145012,5,7,105,59.405820266731446,2,True,False,0.8019487633850163,0.0824013070999996,0.0,0.0,0.0
37,-123.76784040631341,47.393320932478495,59.18632556947896,1.290611887543864,False,60.65792255068393,77.59572573083136,1.0028146682550798,18,0.5232150918131653,0.018329889437998098,0.015564550646732013,0.017389087198049567,4,7,113,59.047701554184606,2,True,False,0.7973667578932432,0.0824013070999996,0.0,0.0,0.0
38,-125.0,45.210919515367266,61.20786328379036,1.1093846671122856,False,61.18989387759842,79.72232123116318,0.9386077419091797,18,0.550869847479135,0.016102378998590065,0.02084295108256188,0.02046910391511787,6,6,93,60.74765655133724,2,True,False,0.8181069319516308,0.0,0.0,0.0,0.0
39,-123.76784040631341,41.4299548432775,57.7249545937418,1.2349451719821007,False,59.1490075433981,76.40536742560387,1.0918861831378495,18,0.5182851953976615,0.018734508143144313,0.02479569159636977,0.021884430515750813,4,7,126,63.481048691840535,2,True,False,0.7678365679574009,0.0824013070999996,0.0,0.0,0.0
40,-125.0,46.57497668934384,62.072413677174694,1.1694385560218215,False,60.258717055414806,80.30353191364381,1.0330093319880038,18,0.5000221095713673,0.014612250803200652,0.03969324911791167,0.016467064366782958,5,6,104,61.490471388553914,2,True,True,0.7924528911344724,0.0,0.0,0.0,0.0
41,-123.76784040631341,44.96262342041609,60.325485318321554,1.1996157288454312,False,61.090397866465324,78.55856830265047,0.9535366595173326,18,0.5332684884504454,0.016342270564977897,0.0172926295315783,0.014727817384409536,5,7,107,59.65373464437187,2,True,False,0.8075981118037089,0.0824013070999996,0.0,0.0,0.0
42,-123.76784040631341,44.00317998526016,60.707148361163895,1.2656870790292976,False,61.003851121294524,77.18660158813617,0.9041014870832795,18,0.5011882240492552,0.016672177880051244,0.018616162092848693,0.017756554262423258,5,7,101,59.5811044356198,2,True,False,0.8142598732515579,0.0824013070999996,0.0,0.0,0.0
43,-123.76784040631341,45.84445932236613,59.08980734063619,1.192639427818426,False,61.892698358444214,78.65632117646052,1.034771390206629,18,0.5128313773320042,0.015577524885670971,0.01541049986556595,0.019494478727540843,6,7,110,60.304951080456696,2,True,False,0.7988761905301411,0.0824013070999996,0.0,0.0,0.0
44,-125.0,42.06840450502205,57.15420214349102,1.0911291307473512,False,59.78425127574913,81.54564325932013,0.9789260896322272,18,0.5379689346151574,0.018724680961655898,0.02141782637655852,0.016976316045102916,4,8,135,58.974656356707094,2,True,False,0.7611925946484992,0.0,0.0,0.0,0.0
45,-125.0,46.89025523674069,62.59777540188871,1.2131940368570742,False,60.574728991127266,80.12692877181712,0.915661654462032,18,0.5618170809658858,0.017711808223276903,0.017217256311181057,0.015625748601096227,3,6,98,62.05340127602434,2,True,False,0.8294887601950958,0.0,0.0,0.0,0.0
46,-123.75767313687014,44.930998633419385,59.52333034046908,1.1372100693842688,False,59.13093310796257,78.91752177559543,0.8521501708719895,18,0.5282857326696241,0.01419679721857335,0.01870733091783016,0.021519541494287125,7,5,90,60.15352079123066,2,True,False,0.7797883598436651,0.03544070110002018,0.0,0.0,0.0
47,-125.0,39.85476517326776,59.561189787915964,1.0297539710905066,False,59.055602387469484,76.20136544388619,0.8644930874411398,12,0.5221142209790651,0.014034027879713572,0.014223643757102486,0.024181549005862092,7,5,86,63.3310592598004,2,True,False,0.7838477560473925,0.0,0.0,0.0,0.0
48,-125.0,43.71561468225485,58.82275097118059,1.1485426533076994,False,57.9320019639845,77.3527128081512,0.8505943293293673,18,0.581472603984382,0.015011717748034194,0.019439036549321977,0.023511099777839616,8,5,90,60.16822064026822,2,True,True,0.7642091143369022,0.0,0.0,0.0,0.0
49,-125.0,45.80798985631948,59.88332082988988,1.3217710678630012,False,59.490336989379465,78.25045921165541,0.8845042565508053,12,0.5457782327509947,0.015814343832797673,0.0332228200810196,0.02144947468842447,10,2,119,58.15210081831413,3,True,False,0.7734162875567331,0.0,0.0,0.0,0.0
50,-125.0,42.66665408504127,61.30748734540312,1.0802288428794662,False,48.94512225319068,75.16942565454796,1.1830943950145503,18,0.5317402292080803,0.014958254820379813,0.029965761670809575,0.022394647892561896,9,6,80,65.61539500719975,2,True,False,0.8284156391948573,0.0,0.0,0.0,0.0
51,-123.76784040631341,44.76964061545494,60.63673388712939,1.2511620033277746,False,61.389582128699445,78.96067914940728,0.9299630454327458,18,0.5095216509145646,0.016999083133134765,0.01790195147212667,0.018529310223650265,6,7,103,59.059226811471305,2,True,False,0.8058612200626319,0.0824013070999996,0.0,0.0,0.0
52,-123.76784040631341,45.53008545934088,61.843023269553264,1.1820975163994039,False,60.61005311746888,79.12181389868861,0.991780829816282,18,0.5067247069078818,0.01634520705232748,0.01611955601044962,0.020681379983172758,7,7,109,61.82151012763732,2,True,False,0.791635643762533,0.0824013070999996,0.0,0.0,0.0
53,-123.7529562811842,38.30423958806449,64.35031145878496,1.1364643331257969,False,61.99230330036167,77.70101360230206,0.9667678803094354,18,0.519692580251882,0.014101822461996306,0.024497617218779653,0.019428635733138234,5,6,96,60.53722352498302,2,True,False,0.8418334366319318,-0.013654477899993633,0.0,0.0,0.0
54,-123.7529562811842,38.08915037689367,63.76351448197808,1.1344762872770762,False,61.92937203449229,76.84879977230355,0.9740630162753183,18,0.517282825664855,0.012790387336535375,0.025044148789038108,0.019832052943699732,4,6,97,60.64502075232142,2,True,False,0.852082577545431,-0.013654477899993633,0.0,0.0,0.0
55,-125.0,37.383742065175696,64.16970359852593,1.1184350583530906,False,61.419512759757495,76.82779710737577,1.097450733590048,12,0.5371099387463558,0.012925191884303227,0.026981137616256323,0.019696477116224274,4,6,88,60.75753068577808,2,True,False,0.8509945578749152,0.0,0.0,0.0,0.0
56,-125.0,38.261228856631455,64.88454712622547,1.0285036083402208,False,61.80517508913018,77.68797434130094,0.9751439465837611,18,0.5576081923586784,0.01216101985671315,0.02302806460484095,0.020739217439106207,8,6,96,62.501333515695634,3,True,False,0.8566651013112646,0.0,0.0,0.0,0.0
57,-125.0,40.058583477246316,63.13081842780965,1.1448703112367782,False,61.971690659680306,80.26636141806038,1.0211458985672344,12,0.5429021929558789,0.013888462939522998,0.025093277219895276,0.023102116308275224,4,5,83,60.6313256760218,2,True,False,0.8786670418236132,0.0,0.0,0.0,0.0
58,-125.0,38.201019699170224,64.02465122038241,1.2974679168652758,False,52.00237017210999,76.10285686041641,1.0550797986229703,18,0.5161849866170438,0.013261454731267044,0.028276270992538537,0.021594294128330613,6,5,118,63.35352302394736,3,True,True,0.8731067288299957,0.0,0.0,0.0,0.0
59,-123.76784040631341,34.80688128535082,57.00113234849102,1.0591815961333175,False,60.193089056070534,76.97698877729141,1.1412709129614362,18,0.5278806623914013,0.014290350891225222,0.024426962312093813,0.006289903006681509,3,4,99,58.67015828852787,5,True,False,0.8384036410198796,0.0824013070999996,0.0,0.0,0.0
60,-125.0,40.62378739637486,62.98413392673068,1.2437303368148205,False,58.79860454792186,79.61585405722022,0.9216682160022863,12,0.5729477073883562,0.011961105863984123,0.028927658098634425,0.012430321938700074,7,3,67,63.87647512307933,2,True,False,0.8626770563563624,0.0,0.0,0.0,0.0
61,-123.7529562811842,42.02623523041195,64.32297072648427,1.1539953508133691,False,60.561932606497784,78.4980652338156,0.9657219676529581,18,0.5186037588730448,0.015318147745894548,0.022082547169591748,0.019003203990994567,5,6,90,59.93728041672768,2,True,False,0.8110289182432605,-0.013654477899993633,0.0,0.0,0.0
62,-123.7529562811842,41.933982368768866,64.4662395751836,1.1479959876829984,False,61.4222247828245,78.38315328959622,0.9779563679442749,18,0.5128908671884822,0.015336065692428883,0.02048744742298107,0.02020073763540087,4,6,77,61.38208689954315,2,True,False,0.8110288855593356,-0.013654477899993633,0.0,0.0,0.0
63,-123.7529562811842,41.79302360988263,64.27267437714109,1.0977635913145676,False,61.58023801321187,77.86082087056617,0.8875537865005818,18,0.5104121303807749,0.014933708634861435,0.025545952439480293,0.020326716212145383,5,6,77,61.35480465303321,2,True,False,0.8127293076306179,-0.013654477899993633,0.0,0.0,0.0
64,-123.7529562811842,38.99884253516901,64.3323880708188,1.0913974704829315,False,60.335107821635724,77.81941862248321,0.876184979913798,18,0.5100183901134995,0.01527513926270443,0.022225844952695077,0.018930867844255295,6,6,77,62.62556675988463,2,True,False,0.8127259680220446,-0.013654477899993633,0.0,0.0,0.0
65,-123.7529562811842,38.6866718188674,64.17086094844896,0.9665872279342571,False,61.4265772186625,77.83716230442467,0.8833365067884372,18,0.5117115131964127,0.015228633459407339,0.022272389102610982,0.0188428552991119,6,6,76,62.09463081015254,2,True,False,0.8249475002716563,-0.013654477899993633,0.0,0.0,0.0
66,-123.7529562811842,35.97344622837454,64.6078219067973,1.0895228547112745,False,60.33820647837001,76.68136700617798,0.8831518265802584,18,0.5094902803908591,0.014696395935624454,0.02565031310668041,0.02020855160831285,5,6,70,62.61549946424096,3,True,False,0.8129307541674237,-0.013654477899993633,0.0,0.0,0.0
67,-125.0,41.911659292167585,63.36726692873125,1.048830712247062,False,59.63512263083874,74.87981928350646,0.9773108054539131,24,0.5408017281106287,0.013553419769974989,0.026203645457107367,0.019452526818535504,6,6,81,61.0681761600389,2,True,False,0.8407284080586188,0.0,0.0,0.0,0.0
68,-123.7529562811842,37.52815119283552,64.96923717392536,0.9830111449475047,False,61.59485363978117,77.32074365949677,0.9107022737878387,18,0.5050836363172769,0.012761272793594708,0.023945963346928563,0.022492121101670315,5,6,78,65.28349652298266,2,False,False,0.8500603680920926,-0.013654477899993633,0.0,0.0,0.0
69,-123.76784040631341,39.26075793503415,62.460261758206364,1.1129495657746307,False,61.99834173796662,78.30368765300425,1.011952286503645,12,0.5159224495180352,0.015382397796162985,0.021997756447924375,0.01830121874357285,5,5,59,64.25494192848733,5,True,False,0.8331867085226605,0.0824013070999996,0.0,0.0,0.0
70,-125.0,40.345532605525236,63.6585606925864,1.1513706201689315,False,54.02290515481673,73.4252890741365,0.8751866150490512,18,0.5312091537007022,0.013786189160162467,0.020457066265058582,0.02120333429852318,6,6,73,62.778779907944006,2,True,True,0.8207172070489327,0.0,0.0,0.0,0.0
71,-123.7529562811842,41.02012123028466,64.26031037321954,0.9630555624028178,False,61.44979631924663,77.89741331498101,0.8937847539784025,18,0.5122721237649702,0.015225407796168289,0.02231701209012216,0.019207019435682742,6,6,76,61.74804111973222,2,True,False,0.8280228832974815,-0.013654477899993633,0.0,0.0,0.0
72,-123.7529562811842,38.59281635799876,63.78660912230517,1.0093033804263185,False,61.504515371987104,77.6355819811307,0.9308243241059659,18,0.5155304674475192,0.015845022982262827,0.02340252467920977,0.018997792282040363,6,6,64,62.06205571550829,2,True,False,0.82283913550201,-0.013654477899993633,0.0,0.0,0.0
73,-125.0,37.64338825193156,62.94324813135171,0.88024009812013,False,50.469994668646784,76.35016258266138,0.9929423866249178,18,0.5488805105610473,0.014720135996339145,0.02781384609013246,0.01998678799138402,5,6,85,61.36942794963234,2,True,False,0.8094493509861183,0.0,0.0,0.0,0.0
74,-123.7529562811842,39.504073788777475,64.35130659762623,1.084043084934874,False,60.445616520483824,78.09210112582397,0.8804292509138986,18,0.5002235702410528,0.01335648299445959,0.022084302236874884,0.019047119137631234,5,6,68,62.12813390230085,2,True,False,0.8477589611118965,-0.013654477899993633,0.0,0.0,0.0
75,-125.0,42.083463971614314,64.37931676601227,1.1658323393896193,False,60.03045708914822,75.9088123986278,1.0448372372819017,18,0.5266799010992702,0.014413961263283809,0.020060524968020566,0.020830415022242463,4,6,93,63.837658700830346,2,False,False,0.823909029025179,0.0,0.0,0.0,0.0
76,-123.7529562811842,36.70684952279274,61.995184580536694,1.0262989876200705,False,60.81180621332066,79.30425532063548,0.9702944007746727,6,0.5092945287390374,0.015265093249570384,0.025685935459537786,0.018551242922153644,7,6,54,61.175628397766715,2,True,False,0.8345189793408021,-0.013654477899993633,0.0,0.0,0.0
77,-123.75767313687014,39.13732303933429,63.29803394685495,1.1177729422028249,False,61.187932074864136,77.45038328727436,0.9076828136885728,18,0.5187050419148614,0.010664876386967134,0.02400116029097668,0.02014030260690907,6,5,74,62.72375212735004,3,True,False,0.858768435266486,0.03544070110002018,0.0,0.0,0.0
78,-125.0,43.061837001573245,63.85196726080681,0.9467097129155239,False,53.0177978013574,75.38371437681072,0.952184138172311,18,0.5348599725385706,0.012414941076068829,0.03262470861944055,0.01805990860287838,5,5,78,60.62078083765232,2,False,False,0.8139548850761049,0.0,0.0,0.0,0.0
79,-123.7529562811842,40.064454942888084,62.53611605726354,1.062491176965183,False,61.68089074484902,77.8108770080456,0.8691842404932066,24,0.5060431332265585,0.015786915800656404,0.029987471359480666,0.01675637560057241,4,6,85,64.74960100589685,2,True,False,0.7859959434421611,-0.013654477899993633,0.0,0.0,0.0
