fold,validation_start,total_return_pct,max_drawdown_pct,number_of_trades,win_rate_pct,profit_factor,average_trade_return_pct
1,2025-09-04,12.345733526000036,-1.1974178436623406,6,100.0,5.0,1.9802853750689906
2,2025-11-14,3.583133025300067,-0.9033500825153196,7,85.71428571428571,10.089675084883732,0.5062082715605091
3,2026-01-30,6.421327092478335,-1.5946619930544026,8,50.0,5.772622984322493,0.7906298877755318
4,2026-04-15,7.2757391940000415,-1.0889044525481895,5,80.0,78.78832876647611,1.4256116291098309
