trial,score,rsi_buy_min,rsi_buy_max,pullback_volume_min,require_pullback_macd_rising,trend_rsi_min,trend_rsi_max,trend_volume_min,breakout_lookback,ml_probability_min,stop_loss_pct,pullback_take_profit_pct,trend_trailing_stop_pct,cooldown_bars,minimum_hold_bars,max_hold_bars,pullback_rsi_sell,trend_macd_down_bars,require_positive_long_trend,block_high_volatility,atr_percentile_limit,fold_1_return,fold_2_return,fold_3_return,fold_4_return
0,-122.85795113439885,33.614422733489334,63.767857660247905,0.9982177084203147,True,58.24791518535967,75.6780344034354,1.4130144947537078,24,0.7081106602001055,0.008185086660174142,0.01381839895062722,0.008668090197068677,5,5,74,64.40704108435692,4,False,False,0.9305904711203932,-0.5947504733271436,0.0,1.3570613795184316,0.0
1,-122.79189794700247,29.592496989642274,52.855860960340294,1.4271676093063665,True,56.293803964068594,66.74320660351997,1.4667755992146665,6,0.6710582566280392,0.011602287406094019,0.011905223515032922,0.014903538202225404,2,8,49,72.5754902557876,3,False,False,0.9282805493730564,0.0,0.0,1.166414583760833,1.168766623240658
2,-84.94663742558457,46.60847565597635,63.38123260378169,0.9340678769493235,True,56.37059970335519,80.74998776036986,1.0614647149961218,18,0.5702336274218451,0.013140441247373728,0.012509575199192404,0.021043939615080793,2,8,123,62.37174499375179,2,True,False,0.7670302698988408,2.627754614342037,-0.17424765119998797,1.4094510400000093,-3.456931828400789
3,-84.31661799898293,33.24471175651827,42.896726488128245,1.1643531236100166,False,60.08344796225831,76.75760877928094,1.0613691593173855,18,0.5298985614845755,0.015698671808344923,0.03234512155574072,0.016225543951389924,10,5,87,67.40590240388809,2,True,True,0.8669712589678816,-3.6782789121024395,-0.2584607170000086,-1.3976346361055492,-0.1989653517799006
4,-123.44529906930198,45.87402890030014,52.89410818293465,1.0673582572170413,False,53.74536092249882,78.08881821668878,0.9547938367151029,6,0.7009180192247786,0.0077985508832905375,0.03656188795167929,0.015786844838313014,10,8,58,60.42114233960889,2,False,True,0.8674718795928401,4.366149377009632,0.0,0.0,0.0
5,-121.43594608619193,34.600453072421914,45.55269526176826,1.7457642187168934,False,49.67811514267156,71.40184274245804,1.3069623232818657,12,0.6243121264730964,0.009513174647251545,0.017114895820078965,0.005737738947090656,8,5,19,64.13022221320546,5,True,False,0.805672712447645,-0.8754562884262129,0.0,0.0,-0.5292101683207595
6,2.0604798351043883,40.45911759033521,59.86507616502524,1.1993939760832906,False,51.32692561589359,77.65146157778975,1.1982535446485931,12,0.510193785388691,0.013863394147823626,0.02968205957895304,0.005331756578557123,7,3,105,61.83606143810981,4,False,False,0.7760989098853355,-4.554199129407066,2.2445278835188764,2.7467014526436184,6.064867529717555
7,-83.38051613527199,46.267953220406945,63.07029696937446,1.6263610901911552,True,51.61118278801218,76.55974473654686,1.0072039890852935,18,0.5847574477621752,0.010238143619189913,0.03123058172384766,0.022942205199051543,11,7,105,59.85107922989108,2,True,False,0.9026054068948528,4.171845561598819,-0.14649320319999326,1.9293666017000444,-1.0427026879449741
10,-83.62757674704201,40.80001078622254,51.51103354375349,1.227348622546239,False,48.10566247042811,71.54961426250595,1.2089270433678725,12,0.5123998045386768,0.0051846675434740665,0.022837867599847708,0.0052496073317067505,8,2,21,78.58236127379135,4,False,True,0.8051142041529162,-1.4129077542927693,0.6171002249599988,1.4664153680771452,4.887985116356663
11,-28.18975586718751,41.83867443693248,59.32057102927954,1.7809554560703031,True,51.6546425978371,73.93666099471542,0.8551278091446346,18,0.560968740215892,0.015528643327659372,0.028201038415243098,0.02422611686140659,12,6,103,58.524783901645,3,True,False,0.9790839075530791,9.123619200000022,-0.6996692296199813,-0.5255219933007704,0.6121729469563242
12,-29.46722196709251,40.7354586301438,58.61084133795847,1.2987058635838415,True,51.776807098030744,73.00632646269159,0.8812632530462468,12,0.5380005590519392,0.016715579662054402,0.02537677383836838,0.019754487637168416,12,6,101,58.19316510173027,4,True,False,0.9677651330751196,3.6747260921195624,-0.07273404259995342,-0.31608565336854744,1.258065728014901
13,-84.24364971695148,40.11434199953391,58.62666299215308,1.7680474579023353,True,53.707904024988544,81.30909547540969,1.186579840046737,12,0.5567226173033228,0.016273758490436753,0.02635806296017894,0.024873080298447325,8,2,114,58.00868921958372,3,True,False,0.8230946269695503,-1.3809453641199898,0.10313949729998662,0.018351071999989088,2.2895834395644687
14,-28.698917603889356,37.826796307583656,55.9139044963905,1.5819707520072566,True,50.04081681806698,73.26087812599368,0.8619560829873232,18,0.5102321297722405,0.01910978047409538,0.030622165788158212,0.010079460057909287,7,3,87,69.62249476697124,3,True,False,0.9650944681612595,-1.3639063945497076,1.3658547816587818,-0.6645093359992416,2.5140209285837045
16,-24.04660413202996,43.104679295779874,55.532995220099025,0.8636742242786131,True,49.88357150899263,74.49809611055804,1.3224683924138998,18,0.5019660692738719,0.01789553349433963,0.02871734085564628,0.011597874067077896,10,4,88,70.17669904279103,3,False,False,0.9007900988061941,-1.1681511585242554,2.120873908189247,2.3608395020310313,4.515995577358267
17,-52.97172630590548,38.57119519137277,49.13673820147686,0.8530691961720016,False,48.2938994334878,70.32055126821703,1.314399809957073,6,0.5092423838225473,0.018293902149378562,0.035222270503782,0.00795567850055344,7,3,60,75.37268163659873,4,False,False,0.9011416667919596,-0.33141732854502504,-0.29531629925924063,7.0115270628126725,5.967571097568514
19,-52.36783679383395,36.44811020481928,47.99444429412397,0.8550935338369328,False,49.38372435472006,69.0284555371378,1.2522602380138022,18,0.502448964362255,0.011657823609963279,0.03483355726705581,0.013123054889738776,9,4,88,79.96692712608724,3,False,False,0.7933577424954823,-0.9542842931546169,-1.1142614629385483,3.384612453170366,6.292047608016427
20,-27.192047482749068,43.94974552590558,55.67285049542573,1.0117226295634563,False,52.8081237264628,79.32754947468395,1.3800107055024091,18,0.5432121635389989,0.014457786328874176,0.028582022784218643,0.007398916582882497,5,2,155,70.25597123254454,4,False,False,0.837755424049341,-3.1807839056865017,2.102301930203221,2.717780366150291,2.466543770381202
21,-26.30587989226995,43.74773726869706,56.400317090500785,0.9992352222335712,False,52.57470175755936,79.37610314188404,1.3778509911249959,18,0.5289402936680917,0.01482511183647739,0.028552803142336283,0.00729613325794935,6,2,146,69.83227704798767,4,False,False,0.8297422121624002,-2.165937230115522,2.11263722985362,2.714868646192792,2.515332424499328
22,2.082409525141104,44.42467484911053,61.09549780778832,0.9569683088402339,False,50.821797845563985,78.51046766917898,1.3740142240957598,18,0.5248212134594188,0.018069282638928208,0.025348603385387265,0.010045084347008341,6,3,137,74.63612752616577,4,False,False,0.9049854211462869,-4.541533221620031,2.055237326759518,2.724645061532116,6.653527501234291
23,-2.4168311675793293,47.59273366018375,61.346278638797266,0.9176476112118492,False,50.6173736136729,78.0107210951144,1.1251989079242808,18,0.5007091147424338,0.017736011756810437,0.02341616918036094,0.010131512632226197,4,3,123,75.74300146915513,5,False,False,0.8956727680686103,-5.28672106279271,3.636082186878631,-1.070876773642071,4.3700601917849635
26,-5.148160989843726,45.27560691270509,64.79428757237176,0.9400511085434279,False,50.696204497341675,80.3406096899809,1.229808012407282,6,0.5243742940178402,0.01315555837649781,0.008335558370305647,0.013651965402916258,3,3,138,74.03202182760788,5,False,True,0.9159779592731883,-5.8225018181305765,0.29156507652670083,-0.7844976462975994,1.7173061134938994
27,-1.4546810951840943,39.010736163202935,60.54489429529215,1.2461451773518968,False,48.74493787417698,77.97767231212833,1.1271429554415966,24,0.5479077897200071,0.017170974369167535,0.023616200059535408,0.006500642335535519,4,4,116,78.15803520725413,4,False,False,0.9452707556620569,-2.2759317862573902,-1.4815454126897665,1.2434557990522066,9.062447732986833
28,-2.3919552195676466,38.89945531636601,59.75131445890212,1.2690036466214263,False,48.767339237188565,76.2228657980846,1.086942347501607,24,0.5498879289394991,0.01200570440814272,0.020157639221129734,0.0063618091616211,6,4,107,78.27963982006669,4,False,False,0.9503280962305796,-1.1702049934589565,-1.318363388417798,0.9163286769573231,2.017562339782897
31,-1.4549623974514154,38.83024636191818,59.69919533458137,1.2779564459444028,False,48.84204287962017,76.00411329405884,1.073026391437757,24,0.5542314490440907,0.011059530243086653,0.02020602490090801,0.006189490746614246,6,4,96,78.16833516890607,4,False,False,0.9470644115059004,-0.2600523192328952,-1.1891200871088636,0.9383042268734654,2.260212178078791
32,-55.16961315476587,37.938500003161614,60.10984419425432,1.2992357829011345,False,49.04605674422404,77.21275061911095,0.9936056502572002,24,0.5651130358815268,0.00865821122699589,0.021574571713236953,0.005073375148459017,4,5,96,77.90667799462766,4,False,False,0.918572387697512,0.6974011038392014,-0.3728764230882198,0.06062537481179575,3.18168150163356
33,0.2937584552790339,33.131405520314225,53.52920117992818,1.3854804338563051,False,51.1139232042651,75.34362031123945,1.1198189075247802,24,0.5260041527580892,0.01063628737197584,0.018678793622451242,0.008365573823168063,6,4,77,77.51029670191313,4,False,False,0.9486861209840984,-1.116338561640584,-0.01952819006558748,2.980360815464933,2.182814276191203
34,-54.35237541736994,32.52141482219514,51.212825610006725,1.3828374078841499,False,52.78297163104001,75.32136623701093,1.4977473645024268,24,0.5202474881241996,0.01262118077573924,0.01564778712122097,0.008721389426179813,3,3,78,74.76512068780482,4,False,False,0.964148683022412,-2.229755732694172,0.5188068387968814,2.9939315262023536,1.8257717714712962
35,1.3138269117391626,31.76428444817686,53.536312021694,1.503323758914781,False,51.174852311112296,80.22942049207522,1.1306284909755162,24,0.5227316622517795,0.015417883380099136,0.02657552792654216,0.008486441000417084,7,5,73,72.00552160513925,3,False,False,0.88421834099757,-1.4510172365061025,-0.4945420251194488,3.8623645056872213,5.5010163109354915
36,-54.32494584642583,30.82026787426083,40.478796531778066,1.5305799588549613,False,51.081450349753275,80.55074449645666,1.0508292357921296,24,0.5213503400843288,0.015521031073886478,0.032126161088707736,0.008369449333169226,7,5,75,71.67181575117412,3,False,True,0.880657006053981,-0.6934462384337148,-1.2771585200358704,0.16886810267771057,0.17364352248525616
37,2.0616514883504524,26.654098654691982,53.25545843376215,1.5358504772736983,False,54.791813845071864,79.90593653459841,0.9328704156256483,6,0.5329472385211409,0.006709493699292476,0.026917193279404426,0.010982132195152303,9,6,54,68.220261108867,3,False,False,0.9165415616188349,0.4065244546442415,-1.3385819668102594,5.210862779545944,5.95830048426953
38,-25.330217663659862,25.917860499101664,54.07633996265371,1.701926445959216,False,57.74637615204178,79.9501037703441,0.9386077419091797,6,0.5747438168825453,0.0060354173502753395,0.027197670599101234,0.014488934917491585,9,6,39,67.91615511621076,3,False,False,0.8537188867230681,2.336072014600399,-1.030552073421398,0.9989983586351503,3.3581000787911375
41,2.3465229737122035,31.858354587907854,53.59595732744088,1.489384151148645,False,59.04644891454311,77.41159569071034,1.0242491359453818,6,0.519740873632375,0.006669051114723895,0.025683976175365,0.00905303841129002,7,5,68,73.02237958840779,3,False,False,0.9274523846900796,0.05934756316743339,0.3543319895628727,4.007428885155617,4.273085934344278
