trial,robust_score,train_score,validation_score,param_rsi_buy_min,param_rsi_buy_max,param_rsi_sell,param_relative_volume_min,param_macd_hist_min,param_require_rsi_rising,param_require_volume_rising,param_require_macd_rising,param_use_15m_confirmation,param_rsi_15m_min,param_relative_volume_15m_min,param_macd_hist_15m_min,param_required_15m_rising,param_stop_loss_pct,param_take_profit_pct,param_use_trend_entry,param_trend_rsi_min,param_trend_rsi_max,param_trend_relative_volume_min,param_trend_breakout_lookback,train_total_return_pct,train_max_drawdown_pct,train_number_of_trades,train_win_rate_pct,train_profit_factor,train_average_trade_return_pct,train_average_holding_minutes,train_minimum_holding_minutes,train_maximum_holding_minutes,train_average_holding_bars,validation_total_return_pct,validation_max_drawdown_pct,validation_number_of_trades,validation_win_rate_pct,validation_profit_factor,validation_average_trade_return_pct,validation_average_holding_minutes,validation_minimum_holding_minutes,validation_maximum_holding_minutes,validation_average_holding_bars
2145,0.7870190921857234,8.349155786847199,0.1710817932233007,42.35245507068558,60.700460796775864,70.06642704514445,1.3028298983930306,0.0,False,False,True,False,53.7378238549016,1.4325864362192782,-0.01,False,0.025,0.01,False,57.78806177336243,73.30757154470683,1.0120283913918728,24,8.377294429122383,-3.153646254495235,42,61.904761904761905,1.503882625165747,0.19763548078208446,253.57142857142858,0.0,3955.0,7.0,1.0205361903754984,-3.0665671935685257,19,52.63157894736842,1.1607486772407274,0.05719478498012202,363.6842105263158,0.0,3935.0,9.263157894736842
306,0.7788642547211237,-6.825395418662197,2.485213109386673,31.88042787050053,47.194760176522166,75.794299980083,1.544394770643159,0.0,False,False,True,True,45.74755693387694,1.275581154429517,0.0,True,0.025,0.0075,True,59.808859892285,79.51018450540344,1.2371036597122416,12,-1.1281178868584818,-7.4485667569388125,96,60.416666666666664,0.9633983873576449,-0.008376558165382422,122.65625,0.0,3980.0,3.78125,2.486710088856947,-2.8086684679506257,35,60.0,1.3062257369786718,0.07251321180151704,51.285714285714285,0.0,1075.0,4.257142857142857
641,0.7712079594560861,-1.802369842034274,1.3593402789535989,37.55761674337593,55.170916303321434,63.534824274972,1.3145608638901871,-0.01,False,False,True,True,48.80119592208394,0.7525030348412638,0.0,False,0.02,0.015,True,52.60024108709316,74.79656361990793,1.4832608045777322,24,1.4172821945249714,-5.528641954822355,122,54.09836065573771,1.0727887959026297,0.012829451831104679,39.34426229508197,0.0,3960.0,1.4262295081967213,0.72958289958025,-2.0712513640315455,37,54.054054054054056,1.1784936688877998,0.020203084531845807,7.027027027027027,5.0,50.0,1.4054054054054055
2453,0.7694234338732513,-11.539670445070108,3.6543410451407783,34.41794366664252,43.60808710444214,80.76194456595572,1.8963816962411855,0.0,False,False,False,True,49.270729761681864,1.1174123477892215,0.0,False,0.0075,0.015,True,51.85501383051146,73.97326540222512,1.204387585237047,24,-3.1498811544369953,-8.936816460644103,72,37.5,0.8741541901146769,-0.0412204322650336,129.16666666666666,0.0,3940.0,6.166666666666667,3.0519049156390032,-2.3514518570887155,23,43.47826086956522,1.6281238223142431,0.1335505455772299,323.04347826086956,5.0,5380.0,8.782608695652174
2397,0.7604322554654623,3.7318820874130982,1.102662027190448,37.55293898669966,48.85800918627125,74.85010407204783,1.1164152564040468,-0.01,False,False,True,False,42.791149661247644,0.8249427311133877,0.0,True,0.02,0.04,True,48.00949167293311,72.96202177926716,0.9115890702378764,24,14.580990016311146,-11.555888424379079,232,44.827586206896555,1.1328005849585796,0.06662694969781852,356.78879310344826,0.0,5410.0,9.262931034482758,8.204988548419845,-8.685383376769417,97,44.329896907216494,1.2652031743920296,0.08610191058194964,389.4845360824742,5.0,5450.0,10.041237113402062
1085,0.7578707464675671,-13.79897543548489,4.37914940960691,25.936835294386253,58.739806947753294,72.81935563500942,1.0056742546258657,0.0,True,False,True,False,49.23336537620182,1.0666655086036076,-0.01,True,0.01,0.025,True,53.439451675062706,72.93302820119759,1.226357548679753,18,9.195334351564032,-21.199111142155168,270,44.074074074074076,1.0820651061090392,0.03847375655285377,298.01851851851853,0.0,5430.0,9.292592592592593,8.337660330223429,-6.144889245729024,125,45.6,1.207067091029841,0.06849876515570523,421.4,0.0,5450.0,10.648
226,0.7493788882280634,4.96309037278453,0.7294226500418193,40.738510622203876,44.68933938291825,71.73446318153115,0.9142988047845108,0.0,True,False,True,False,61.32336111664253,1.2282170300481097,-0.01,False,0.02,0.025,True,50.59912101470262,74.09788846888868,1.1564187456946562,24,11.85889347769875,-8.615778922472694,225,57.77777777777777,1.1455766617473944,0.05481639088918043,219.04444444444445,0.0,5410.0,5.942222222222222,5.7548117026493095,-7.115665596803522,81,53.086419753086425,1.3316430322234563,0.07131756659257706,134.1358024691358,5.0,3980.0,6.753086419753086
1604,0.7456455590899225,-33.71115119772193,9.173433358520406,31.4289376362276,52.25131157600643,58.031435371923465,1.0752564076001923,-0.01,True,False,False,False,40.732058594846386,1.0403944201504949,-0.01,False,0.015,0.0075,True,48.89124858587745,77.58994958889058,1.266821199364383,24,-13.176394800938972,-19.025417171396906,372,48.924731182795696,0.8456802958715063,-0.03595131003171352,112.88978494623656,0.0,3990.0,2.5618279569892475,9.914416461103471,-3.9442684442197007,143,53.14685314685315,1.4176102598363312,0.06747009532608371,195.2097902097902,0.0,5445.0,3.2937062937062938
2690,0.7454195505711394,-5.364467121626106,2.086536330977666,45.16754877417338,50.60719851741222,81.99551518469531,1.6988030883390848,0.0,True,False,True,True,50.791728043761495,1.2502765015116273,0.0,False,0.0075,0.04,True,58.699360933362044,77.48460377340518,1.260786004473514,6,2.547465215390665,-8.882759814081808,65,43.07692307692308,1.119985979364684,0.043615910109503796,176.76923076923077,0.0,3970.0,7.107692307692307,2.703857994958958,-3.1741627298967456,22,45.45454545454545,1.4808605595324873,0.12467005434421297,335.90909090909093,0.0,5380.0,8.818181818181818
3652,0.7434093011852152,-7.744029289479704,2.679416623555141,36.895320905638016,49.94968407321606,77.84541422514812,1.9547232497410265,0.0,False,True,False,True,53.78118738542909,1.323065517270297,0.0,False,0.0075,0.03,True,58.81274673588971,76.38728963591063,0.9750965113417132,24,-0.8583214400573747,-7.784485034965794,56,42.857142857142854,0.9518370580947038,-0.0120560660577122,118.48214285714286,0.0,3940.0,5.910714285714286,1.9384134361172256,-2.20588509038403,19,47.368421052631575,1.5739940862435475,0.10290095917451167,32.89473684210526,0.0,80.0,6.578947368421052
