trial,robust_score,train_score,validation_score,param_rsi_buy_min,param_rsi_buy_max,param_rsi_sell,param_relative_volume_min,param_macd_hist_min,param_require_rsi_rising,param_require_volume_rising,param_require_macd_rising,param_use_15m_confirmation,param_rsi_15m_min,param_relative_volume_15m_min,param_macd_hist_15m_min,param_required_15m_rising,param_stop_loss_pct,param_take_profit_pct,train_total_return_pct,train_max_drawdown_pct,train_number_of_trades,train_win_rate_pct,train_profit_factor,train_average_trade_return_pct,validation_total_return_pct,validation_max_drawdown_pct,validation_number_of_trades,validation_win_rate_pct,validation_profit_factor,validation_average_trade_return_pct
225,-20.51424202642924,-13.744338902738138,-16.791442049550884,28.03633138760122,41.72673716582675,76.74303984330307,1.1056313525909374,0.0,False,False,False,False,60.626647756867634,0.8130295681710753,-0.01,False,0.025,0.01,-6.170876772210732,-7.607375419300277,41,29.268292682926827,0.6269275266262695,-0.1521771736220619,-7.604453028179847,-7.794704270048369,11,18.181818181818183,0.05516996836870647,-0.7147158185267778
2813,-20.574529162504476,-22.563430306296627,-14.93367158593032,25.69975186195696,65.3282102764841,70.4953717523311,1.0232619691323963,-0.01,True,False,False,False,59.16372756266751,0.7568036819343549,0.0,False,0.025,0.04,-7.932589559809477,-14.095490600776262,179,34.63687150837989,0.8638567162103851,-0.04184710973307549,-7.358299841679694,-7.983621391422968,77,36.36363636363637,0.6045881785035734,-0.09783160663142235
556,-20.6079983422297,-31.166503063061857,-12.816372576464234,28.095325463960478,61.183678405187635,80.95494860775274,1.3660474188078586,0.0,False,False,True,False,61.75800173576969,1.1741979199348789,-0.01,False,0.015,0.02,-14.648186834175725,-15.102141380590183,94,26.595744680851062,0.5916304021563816,-0.16493095709009148,-5.897422901565442,-6.950360733565453,31,35.483870967741936,0.4995492151354566,-0.19346664805143063
3937,-20.689401963956005,-37.057227547746635,-11.425095077019346,39.25952474744045,65.08711264896765,81.50939697974088,1.013396000579627,0.0,False,False,True,False,41.90233028554772,1.0333237420315073,0.0,False,0.0125,0.015,-17.525987855436853,-17.707068311795148,173,32.369942196531795,0.6367979023356775,-0.1092952533577836,-3.903546001256908,-8.07976772350434,74,35.13513513513514,0.7569719172768542,-0.052465412494309784
2686,-20.70480036902912,-25.665314107239077,-14.28847184221935,40.109879899428755,65.4503996142702,81.30328366890552,0.9623356842439593,-0.01,False,False,True,False,59.88907157373795,1.2731159163038694,0.0,True,0.02,0.0075,-12.470419070134664,-12.829446782073484,189,37.03703703703704,0.7341151331644666,-0.06894908682168455,-6.922149889923956,-8.026450990619328,92,35.869565217391305,0.6862336544206268,-0.0764169872014309
2369,-20.753674118818328,-22.228449887001393,-15.19656164706798,37.58409787725225,51.41533578214727,75.92575472415152,0.9164215167780706,0.0,True,False,False,False,53.01723857396364,1.254799751881144,0.0,False,0.025,0.015,-10.113979684106278,-11.758756209646803,87,34.48275862068966,0.6828799244997309,-0.11866054699640476,-7.143538039455644,-7.605563195335807,31,29.03225806451613,0.37552348351140163,-0.2363480334043325
2585,-20.85132836537128,-22.198200340643112,-15.301778280210504,31.78068068661409,65.2987959776075,74.60538016427763,1.0774820222568722,0.0,False,False,False,False,46.51239692139147,1.479378673131678,-0.01,False,0.0075,0.04,-10.902251152796216,-11.249907987846242,179,30.16759776536313,0.7753892277690964,-0.0618971594062586,-5.904158278565596,-9.474070736982743,74,35.13513513513514,0.6681771445872114,-0.08086909716181351
1674,-20.88395208630441,-21.153164681762984,-15.595660915863665,28.01289944179752,44.57427031475048,63.41291969377371,0.9334239960100184,0.0,False,False,False,False,58.709244943436175,0.8226998504962738,0.0,False,0.0125,0.05,-8.903669788578261,-11.750186184299594,78,30.76923076923077,0.6952354812034363,-0.11595937333185183,-7.4119856276228635,-7.60263317822244,24,29.166666666666668,0.33085523413594403,-0.31727804421510014
218,-20.955393408156063,-31.60815996867997,-13.053353415986068,33.18252304315297,55.48655906907389,58.67394176078542,1.0807718264708992,0.0,False,False,True,False,48.10201980931461,1.4788933088631966,0.0,False,0.015,0.02,-13.835223293971023,-16.446845881321394,121,42.97520661157025,0.6174110298075938,-0.12058383688413428,-5.833762496412076,-7.42536437184127,44,43.18181818181818,0.5056521210608221,-0.1354014983538752
4056,-20.957315900545787,-19.227001049674918,-15.707125366145055,34.34147962003434,62.05163412742996,77.32649143853715,0.9040674769536451,0.0,True,False,True,False,55.31055364866366,1.270583296785377,0.0,False,0.0075,0.025,-5.062079730925895,-13.75015375798736,217,32.71889400921659,0.9122619990338977,-0.021612456086011023,-7.279281090835898,-8.803813171028985,87,35.63218390804598,0.662852340210769,-0.08511926119281234
1059,-21.02961653183586,-29.622509581911846,-13.623989136357897,30.41388385253348,51.49699859811891,58.24705481836029,0.9976417782339708,0.0,False,False,True,False,43.98713205896288,0.956055861136677,-0.01,False,0.025,0.0075,-12.350294055036803,-16.076791603692552,115,43.47826086956522,0.6361391735662286,-0.11241780740316024,-6.403479864905903,-7.081148628782364,32,34.375,0.41561767635064134,-0.20525609064903153
287,-21.034191439538873,-26.174461576201868,-14.490576045488407,37.59733597608124,59.623333719915074,68.87001047251078,0.9827160401261692,0.0,False,False,False,False,60.73882031945482,1.2825927236162755,-0.01,False,0.025,0.025,-11.869914207845078,-13.695449873502131,171,31.57894736842105,0.7887906841016346,-0.07028219561659851,-6.720271602299821,-8.045171261797945,65,35.38461538461539,0.618978217577691,-0.10517552502551884
3857,-21.043766240708738,-29.960590392612463,-13.553618642555623,30.873598489403193,64.4656729530257,77.4213992254405,1.1028067564388304,-0.01,False,False,True,False,53.655831438063906,1.0141464618125022,-0.01,True,0.0075,0.02,-14.402594373182865,-14.53427960783199,168,28.57142857142857,0.6922832792878773,-0.09040034215168659,-5.102698308782538,-8.70127238263989,69,34.78260869565217,0.6933453137424919,-0.07459547487904171
2156,-21.0844208893507,-13.010109980495027,-17.246079093829927,34.50647586566209,50.658156288239034,72.0918501279664,0.9900511213250435,0.0,True,False,True,False,52.622569821721406,0.7548008377658284,0.0,True,0.01,0.05,-5.210685767908507,-8.37881747724597,81,32.098765432098766,0.8147482168859794,-0.06262957530351557,-8.139757269893588,-8.139757269893588,25,28.000000000000004,0.17224984228709903,-0.3375032956245056
