trial,robust_score,train_score,validation_score,param_rsi_buy_min,param_rsi_buy_max,param_rsi_sell,param_relative_volume_min,param_macd_hist_min,param_require_rsi_rising,param_require_volume_rising,param_require_macd_rising,param_use_15m_confirmation,param_rsi_15m_min,param_relative_volume_15m_min,param_macd_hist_15m_min,param_required_15m_rising,param_stop_loss_pct,param_take_profit_pct,train_total_return_pct,train_max_drawdown_pct,train_number_of_trades,train_win_rate_pct,train_profit_factor,train_average_trade_return_pct,validation_total_return_pct,validation_max_drawdown_pct,validation_number_of_trades,validation_win_rate_pct,validation_profit_factor,validation_average_trade_return_pct
203,13.007421412383785,2.466192059591721,12.390873397485855,46.860584231601194,65.76150607255735,69.99718689088776,1.26450069090685,0.0,False,False,False,True,41.13932005107041,1.2192032056237156,-0.01,False,0.025,0.02,1.022838661628911,-1.0977294705564855,16,31.25,1.3536768241056112,0.06581703284022147,4.435459740100001,-0.8356690740913164,10,70.0,5.87155619419536,0.4388225264892087
324,10.51475743366815,-5.613164664806321,11.91804859986973,29.01845022833043,67.00796703848648,70.07141248947686,0.9547518718745096,0.0,False,False,True,True,41.40977004012483,0.916327683464634,0.0,False,0.005,0.04,-0.8583411833676502,-5.724683914085493,46,28.26086956521739,0.9172093465758989,-0.016310999795914983,5.980484269142994,-0.8936548863092475,23,52.17391304347826,3.8541031184958205,0.25516556678928287
3436,10.288786320634024,0.9478492456090957,10.05182400923175,29.91539698889906,66.72475082318677,73.14137789364297,1.2552768156797924,0.0,False,False,False,True,44.558903453834,1.1417158475897078,-0.01,False,0.015,0.03,1.7987285528533459,-2.877553528678989,20,25.0,1.364041735736324,0.09468425998274688,3.91446358609997,-0.8353516149732787,12,58.333333333333336,3.9299221834544746,0.32388101700107363
1227,10.271787784022555,-2.378312771501389,10.866365976897903,46.94375166211775,66.08363856800551,79.73096439249218,0.9356860888396681,0.0,False,False,True,True,41.03157638297417,1.14115694444454,-0.01,False,0.015,0.02,-0.9047985587087304,-2.902455433515061,30,26.666666666666668,0.8808144971785563,-0.027507858146246233,4.285159008159045,-1.1518956228054877,16,56.25,4.490717664830478,0.26479179001809783
935,9.826909204694005,-8.725565341978035,12.008300540188513,41.260816090476126,63.4935770456292,80.07630133576028,0.8682275339514427,0.0,False,False,True,True,43.096188013576906,0.9367485913114159,-0.01,True,0.0075,0.015,-4.3465825099683,-4.3465825099683,24,16.666666666666664,0.32060798141153773,-0.1842587492048492,4.54269340186837,-1.067514289343885,10,60.0,6.725103315797254,0.44773514805652503
1271,9.59870324923394,-5.042609457950958,10.85935561372168,45.56463618015238,66.43460220120744,74.95679593116677,1.1423543025857232,-0.01,False,False,True,True,47.77114220614163,0.7980559125055517,0.0,True,0.02,0.05,-2.2591429493999726,-3.3121275981493836,18,16.666666666666664,0.5622397705349412,-0.12440249069055054,3.3787582470000688,-1.121703924804529,11,63.63636363636363,6.742935362411615,0.30554637521830286
4264,9.370704263227978,-10.382136115336063,11.966238292061993,46.03654272261347,65.84011272859959,72.94228619768599,1.0127758612373012,0.0,False,False,True,True,41.90148579527482,0.9076405883567105,0.0,True,0.02,0.04,-4.93967897571993,-5.300355930134604,24,16.666666666666664,0.4064362931458586,-0.20865709009331893,4.177782829360055,-0.9692356298384497,10,70.0,10.625388157354259,0.4132215242671644
81,8.725993715014262,-5.732238886331844,10.159053436597222,49.205171898409674,67.19463416556488,79.92451140524597,0.9554244373901489,0.0,False,False,False,True,41.112727234583204,1.000131867324387,0.0,False,0.0075,0.01,-2.185701372339832,-4.436765715995095,39,23.076923076923077,0.7652541129755969,-0.05520949671487942,5.085400334234569,-0.7680768700472962,22,50.0,3.2091661266145155,0.22749401473625344
1278,8.358920459539602,-7.127436304572904,10.140779535682828,46.20303828046566,67.16831708980591,71.81962467569139,1.096493584568491,0.0,False,False,False,True,42.32520613043384,1.05805643864864,0.0,False,0.02,0.0075,-3.8197361189036494,-3.938402316959233,31,25.806451612903224,0.5261157855144823,-0.12433788102917631,4.391712467903508,-0.5649805770920224,18,50.0,3.516861859429565,0.24159505078994511
4036,8.08895575023418,-1.7499589788940866,8.5264454949577,48.40727602686112,62.48297827843438,68.283944280268,0.8829476842914165,0.0,False,False,False,True,41.198353664864314,0.8986125949756778,0.0,False,0.005,0.05,1.2823478360902474,-4.6608199225028235,40,32.5,1.162478725429464,0.033799112493256525,2.8330273604400213,-0.809779885507389,13,53.84615384615385,3.6658132763192244,0.21625888300802562
4135,8.062843692733328,2.518271532162844,7.433275809692617,39.29445414850634,67.0385759324553,81.46138513563999,1.4872483600068205,0.0,False,False,True,True,43.65619502378995,1.24213674909178,0.0,False,0.02,0.02,1.2420656824352339,-1.2242321623855856,15,26.666666666666668,1.4154418129175057,0.08536247676775337,2.7153485312390035,-0.8359732136825282,11,54.54545454545454,3.0413231364317883,0.24659659020623434
4350,7.736172774414868,-0.475540659604974,7.8550579393161115,43.88647647498799,67.02101591672469,78.09708735757783,1.5130357370308714,0.0,False,False,True,True,44.67174775068213,0.8881238957248737,-0.01,False,0.0125,0.03,0.08123497797649648,-2.157671501091596,19,21.052631578947366,1.019507404802718,0.0071690783494799725,2.913972394180009,-0.8353866270520482,11,54.54545454545454,3.189606492028048,0.2646978707106809
1044,7.7009901370131955,-1.1083315703654923,7.978073029604569,48.25314375241206,66.11366703573636,79.4299076612738,1.0853658537445496,0.0,False,True,True,True,41.89409597177654,0.9261021173852193,-0.01,False,0.015,0.025,0.40348946398025554,-3.077650590743619,19,26.31578947368421,1.079284276406728,0.02556231613074909,2.364171792140035,-0.71887485086497,11,63.63636363636363,3.4198450188789824,0.21414979814180804
4191,7.3673856728404505,-2.68201458008245,8.037889317861064,42.91573450815831,65.74645325476779,74.66565123218169,0.9125221944652568,-0.01,False,False,True,True,42.471469490353584,0.9908843895684638,0.0,False,0.02,0.04,2.465680779783974,-6.285022327237688,37,24.324324324324326,1.2347307084627994,0.07215803649523557,3.5957871852001277,-1.1532778094928364,16,43.75,3.2324662630179875,0.22350380002855716
