trial,robust_score,train_score,validation_score,param_rsi_buy_min,param_rsi_buy_max,param_rsi_sell,param_relative_volume_min,param_macd_hist_min,param_require_rsi_rising,param_require_volume_rising,param_require_macd_rising,param_use_15m_confirmation,param_rsi_15m_min,param_relative_volume_15m_min,param_macd_hist_15m_min,param_required_15m_rising,param_stop_loss_pct,param_take_profit_pct,param_use_trend_entry,param_trend_rsi_min,param_trend_rsi_max,param_trend_relative_volume_min,param_trend_breakout_lookback,train_total_return_pct,train_max_drawdown_pct,train_number_of_trades,train_win_rate_pct,train_profit_factor,train_average_trade_return_pct,train_average_holding_minutes,train_minimum_holding_minutes,train_maximum_holding_minutes,train_average_holding_bars,validation_total_return_pct,validation_max_drawdown_pct,validation_number_of_trades,validation_win_rate_pct,validation_profit_factor,validation_average_trade_return_pct,validation_average_holding_minutes,validation_minimum_holding_minutes,validation_maximum_holding_minutes,validation_average_holding_bars
3417,25.979711196119464,-9.56543630805046,28.37107027313208,30.58466048901463,46.92417579600117,75.7464573873412,0.9141696563596892,0.0,False,False,True,False,48.428221993111784,1.2626023350942157,0.0,True,0.01,0.03,True,50.458891182681526,78.96329129647116,1.3957412410460805,6,5.95247496686353,-15.15713999451992,289,42.56055363321799,1.0515350970477007,0.025737811344247404,278.2179930795848,0.0,5430.0,9.283737024221454,28.59868497989282,-4.253153627944883,129,60.46511627906976,1.9196833350593128,0.19885653878904225,355.1937984496124,5.0,5450.0,9.457364341085272
4926,24.81218941663942,-5.481791807519357,26.18263736851926,29.228750586601414,48.05466298675154,78.20662150800564,1.1453727424858338,0.0,True,False,True,False,41.90114692277544,0.890461164262958,0.0,True,0.01,0.015,True,59.409785041746616,71.51944045622301,1.4498403361128513,24,3.929653183104742,-10.282053202024755,147,42.17687074829932,1.0650560646272396,0.030921790441390876,259.2857142857143,0.0,3990.0,9.408163265306122,22.833054416992727,-2.27442444269651,54,59.25925925925925,2.9782855464746603,0.385980325102998,574.1666666666666,10.0,5445.0,12.38888888888889
3639,24.448949912980456,22.44596180142258,20.54757055906666,32.196981562003536,47.15474887755902,76.23517203521496,0.9901033217435455,0.0,False,False,False,False,42.95582861136863,0.7799744307409348,0.0,True,0.015,0.03,True,52.197616208326,72.50253506058661,1.490221657019124,6,29.885252065971812,-9.04244325715673,178,44.38202247191011,1.317415571638986,0.15640237075766056,409.7191011235955,0.0,5430.0,12.269662921348315,21.334696583762568,-4.5562211643400685,75,57.333333333333336,2.007655842708339,0.26368838895565205,546.4666666666667,5.0,5450.0,13.853333333333333
2632,24.04509294271357,0.34120586629913363,23.959791476138786,29.1015627110584,47.6998165355337,60.33993384216365,0.9002692659383823,0.0,False,False,True,False,57.27579048354116,0.9289188058735299,0.0,False,0.01,0.02,True,48.41899316526935,79.80443129946065,1.4398626743892673,18,8.17900824938338,-9.100036412370438,384,45.83333333333333,1.0803843104747561,0.023284361922833896,153.52864583333334,0.0,5430.0,4.830729166666667,22.298868350089673,-2.541826633410693,149,55.70469798657718,1.8160749720539553,0.13757409139614726,222.04697986577182,0.0,5450.0,4.825503355704698
1681,21.560865410562418,-2.390091510947383,22.158388288299264,30.15646556639829,44.07314867987254,77.77378531401793,1.0779518570367015,-0.01,False,False,True,False,44.49192075273117,1.294370781415441,0.0,False,0.015,0.02,True,50.65138101010593,71.85221306386693,1.4416159681578926,24,10.897686940149631,-13.560668740402615,142,45.774647887323944,1.165043011106518,0.07988457856583021,360.84507042253523,0.0,4015.0,11.23943661971831,19.660647189840684,-2.497598248477928,49,57.14285714285714,2.657921177465899,0.37233373333183034,467.14285714285717,5.0,5450.0,13.714285714285714
247,20.06286655584906,-2.339490326294572,20.6477391374227,25.714282325497823,58.579375788506525,79.14864409219246,1.2239815141549506,-0.01,False,False,True,False,49.786588512156364,1.4771566984159097,-0.01,False,0.0075,0.05,False,54.28151765225409,74.59292373066218,1.0512798632740978,18,10.20670243868691,-12.8026913189635,87,34.48275862068966,1.265010807539399,0.12164491553230697,344.88505747126436,0.0,4070.0,12.908045977011493,20.15037952535654,-3.9374245943977537,35,45.714285714285715,2.7699030938517573,0.5397424502047679,923.2857142857143,5.0,5485.0,16.142857142857142
3760,19.327885244342625,-16.69288114405155,23.501105530355513,31.230286530739438,58.2149029093852,80.74242909918941,1.3782256693741024,0.0,False,False,True,False,49.29214363261114,1.051938071538097,-0.01,False,0.01,0.015,True,58.55410420028233,78.15678495029661,1.406261624753165,18,-3.5909250774223134,-13.102000547510762,197,42.13197969543147,0.9552700159003883,-0.014140614504462,177.51269035532994,0.0,3955.0,7.543147208121828,22.467509093709804,-2.9362118465769194,84,50.0,1.909240829911238,0.2459256578925087,463.51190476190476,0.0,5445.0,9.702380952380953
2027,18.596545542593415,-20.246603773943985,23.65819648607941,32.877472815936365,47.32549535750127,73.54060862424532,0.9271142738742197,0.0,True,False,True,False,43.448104764639666,1.3724730753108152,-0.01,True,0.025,0.02,True,50.510314192442756,74.36177690657298,1.4857506050365608,12,-4.087161063041567,-15.613720129741504,199,46.231155778894475,0.955389557131048,-0.013886481141237717,336.5326633165829,0.0,5435.0,10.261306532663317,24.650212728378108,-5.106640300320775,83,62.65060240963856,2.2055147232730006,0.2702087219519514,434.1566265060241,5.0,5450.0,12.590361445783133
1408,18.27213950039381,-4.215548384809775,19.326026596596254,25.880816138195488,66.79068643514802,72.7436545548119,1.2895657127186189,-0.01,False,False,False,False,53.19886430957853,1.331525797962477,-0.01,False,0.0075,0.02,False,49.119246354879245,68.75072510088218,1.3925968158433306,12,5.844708582245173,-10.750342564580585,110,34.54545454545455,1.1245080985077944,0.057292857327995654,243.27272727272728,0.0,5410.0,8.836363636363636,18.475445536111913,-3.179029881598139,46,45.65217391304348,2.300883289480763,0.3780950983527568,741.195652173913,0.0,5450.0,10.891304347826088
258,17.698703014554606,-8.431432869306452,19.80656123188122,29.465970000902708,40.87566511078337,60.56932404375737,1.0703591362652676,0.0,False,False,True,False,50.77801203405909,1.2179778629987352,-0.01,False,0.005,0.03,True,55.2714434907894,66.06310941425183,1.4546371739258832,12,-3.403776392716451,-6.25757745918436,77,38.961038961038966,0.8300630454464469,-0.04276481833417838,104.48051948051948,0.0,3950.0,5.233766233766234,13.283789473826513,-1.2797527375450923,25,64.0,4.394975119990712,0.5062289524726676,537.4,5.0,5450.0,7.88
4851,17.2269200437767,-27.435561449209096,24.085810406078977,25.061312583987675,50.226442632544966,78.78376525306942,1.4440448822107577,-0.01,False,False,True,False,59.26403730034879,1.3321487165449555,-0.01,True,0.0075,0.04,True,52.27525099329592,75.04515794637312,1.4743386328342396,12,-10.123166119049742,-16.18276296213983,152,34.868421052631575,0.8124599676418678,-0.06607482669444768,160.98684210526315,0.0,4025.0,8.039473684210526,22.401434197470493,-3.68841605744199,55,56.36363636363636,3.078415702092162,0.3738565420440324,459.8181818181818,0.0,5485.0,10.472727272727273
3369,17.05541634324024,-3.844625993394784,18.016572841588935,32.09268346777675,47.31548353772283,61.80416684056651,1.079578832197915,0.0,False,False,False,False,55.87618623968104,0.9538440937973991,0.0,True,0.02,0.015,False,48.35137437707575,67.178520401211,0.8762680904931333,24,2.8356009921604475,-7.976374460507207,67,50.74626865671642,1.0702104779629662,0.050633779520564914,552.7611940298508,5.0,3990.0,14.283582089552239,14.59259909951287,-2.384835811122621,28,75.0,3.0833456706528932,0.4933543511217592,1018.75,5.0,5445.0,15.607142857142858
332,16.52024867955125,-11.686072109075546,19.44176670682014,27.734123014801405,47.726396613841416,74.72997066043985,1.420778045230156,0.0,False,False,True,False,49.163806493063575,1.2618025310790255,0.0,False,0.01,0.04,False,56.852510927142305,65.32223447689974,0.9728894281455664,6,-1.2838118441644508,-10.362616305816175,35,40.0,0.9340067449060818,-0.028466480164039965,309.85714285714283,0.0,3965.0,15.514285714285714,12.717963278743039,-1.7332040287245554,13,69.23076923076923,4.917128719578273,0.9377974469595609,1571.923076923077,10.0,5450.0,18.076923076923077
4812,16.485347465843233,-9.99230920438092,18.983424766938462,25.17603729398881,55.6974955850797,75.46431748404498,1.4892336909159898,-0.01,False,False,False,False,53.82134627639261,1.0486629508626881,-0.01,True,0.0125,0.04,False,57.24106570564301,67.94917140492808,1.1252683586796326,12,2.8113983422159317,-12.614500876288282,40,45.0,1.109612365842333,0.08270146889386745,330.25,0.0,4025.0,14.9,12.147563546183227,-1.7313110233958096,10,70.0,6.017267514862042,1.16781223397731,1914.5,50.0,5450.0,18.7
3694,15.812400214377892,-32.663405836545536,23.978251673514276,26.039978617278436,55.11223654335809,76.47978916808985,1.3917848529959544,0.0,False,False,True,False,41.57354096409335,0.9182862728262172,-0.01,True,0.025,0.05,True,52.6582762111476,77.4531242214679,1.4045149704934716,18,-12.67669575661633,-18.55331654791703,191,45.54973821989529,0.8626272270461179,-0.06073350979315883,248.61256544502618,5.0,4025.0,10.455497382198953,24.11624909914545,-4.562655398136018,77,61.038961038961034,2.383028400839754,0.28608779373278787,375.5844155844156,5.0,5450.0,9.428571428571429
1421,15.800320007381984,-7.828502331257656,17.757445590196397,30.815728773353918,55.042074933754655,74.19607091792633,1.0231200953990423,0.0,False,False,False,False,41.95309993989103,1.285548313570463,-0.01,True,0.0125,0.02,True,58.630905697926934,69.52179718165924,1.4131515289266647,24,6.50289750776698,-14.205039164972732,186,40.86021505376344,1.0717965440773396,0.040910290016201,379.89247311827955,0.0,5430.0,11.268817204301076,19.391128793643997,-4.9755364004345655,82,53.65853658536586,1.7950443769255253,0.22170390548043584,612.6219512195122,5.0,5450.0,13.5
